restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Viceroy's Sarathi,"Casual Dining, Bar",3.8,137,750.0,1,0,North Indian,Frazer Town,Indiranagar
Viceroy's Sarathi,"Casual Dining, Bar",3.8,137,750.0,1,0,Chinese,Frazer Town,Indiranagar
Victoria Terminus,Quick Bites,3.5,40,250.0,0,0,Fast Food,Basavanagudi,Basavanagudi
Victoria Terminus,Quick Bites,3.5,40,250.0,0,0,Maharashtrian,Basavanagudi,Basavanagudi
Vidya Cafe,Quick Bites,3.2,4,300.0,1,0,Burger,Bannerghatta Road,JP Nagar
Vidya Cafe,Quick Bites,3.2,4,300.0,1,0,Fast Food,Bannerghatta Road,JP Nagar
Vidya Cafe,Quick Bites,3.2,4,300.0,1,0,Desserts,Bannerghatta Road,JP Nagar
Vidya Cafe,Quick Bites,3.2,4,300.0,1,0,Sandwich,Bannerghatta Road,JP Nagar
Vidyarthi Bhavan,Quick Bites,4.4,4460,150.0,0,0,South Indian,Banashankari,Basavanagudi
Vietnamese Kitchen,Casual Dining,3.6,104,700.0,1,0,Vietnamese,Jayanagar,Banashankari
VIHAR Family Restaurant,Casual Dining,4.0,69,600.0,0,0,Chinese,Whitefield,Whitefield
VIHAR Family Restaurant,Casual Dining,4.0,69,600.0,0,0,North Indian,Whitefield,Whitefield
VIHAR Family Restaurant,Casual Dining,4.0,69,600.0,0,0,Mangalorean,Whitefield,Whitefield
Vijay Vihar,Casual Dining,3.7,20,700.0,0,0,South Indian,Lavelle Road,Majestic
Vijay Vihar,Casual Dining,3.7,20,700.0,0,0,North Indian,Lavelle Road,Majestic
Vijay Vihar,Casual Dining,3.7,20,700.0,0,0,Chinese,Lavelle Road,Majestic
Vijaya Gardenia,Casual Dining,3.3,63,500.0,1,0,North Indian,Indiranagar,Banaswadi
Vijaya Gardenia,Casual Dining,3.3,63,500.0,1,0,Chinese,Indiranagar,Banaswadi
Vijaya Gardenia,Casual Dining,3.3,63,500.0,1,0,Andhra,Indiranagar,Banaswadi
Vijaya Sagar,Quick Bites,3.6,15,300.0,0,0,South Indian,Basavanagudi,Wilson Garden
Vijaya Sagar,Quick Bites,3.6,15,300.0,0,0,North Indian,Basavanagudi,Wilson Garden
Vijaya Sagar,Quick Bites,3.6,15,300.0,0,0,Chinese,Basavanagudi,Wilson Garden
Vijayalakshmi,Quick Bites,3.9,47,200.0,1,0,South Indian,Banashankari,Basavanagudi
Vijayalakshmi Veg,Quick Bites,2.8,40,200.0,0,0,South Indian,Malleshwaram,Malleshwaram
Vijayas Biryani Palace,Quick Bites,3.8,36,400.0,1,0,Biryani,Whitefield,Whitefield
Vijayas Biryani Palace,Quick Bites,3.8,36,400.0,1,0,Chinese,Whitefield,Whitefield
Vijayas Biryani Palace,Quick Bites,3.8,36,400.0,1,0,South Indian,Whitefield,Whitefield
Vijayas Biryani Palace,Quick Bites,3.8,36,400.0,1,0,North Indian,Whitefield,Whitefield
Vijayawada Heights,Casual Dining,2.9,24,600.0,1,0,North Indian,Electronic City,Electronic City
Vijayawada Style,Delivery,3.2,22,300.0,1,0,North Indian,HSR,Bommanahalli
Vijayawada Style,Delivery,3.2,22,300.0,1,0,South Indian,HSR,Bommanahalli
Vijayawada Style,Delivery,3.2,22,300.0,1,0,Chinese,HSR,Bommanahalli
Vijayawadavari Sandya Andhra Mess,Mess,3.6,18,200.0,1,0,Andhra,Electronic City,Electronic City
Vijayawadawari Sandhya Andhra Mess,Quick Bites,3.4,10,400.0,1,0,North Indian,Electronic City,Electronic City
Vijayawadawari Sandhya Andhra Mess,Quick Bites,3.4,10,400.0,1,0,Biryani,Electronic City,Electronic City
Vijayawadawari Sandhya Andhra Mess,Quick Bites,3.4,10,400.0,1,0,South Indian,Electronic City,Electronic City
